Name,Rating,Review,Description,Price_Range,Category,Location
금돼지식당,4.2,"(1,067)","2024년 미쉐린 가이드 선정, 셀럽도 줄서는 돼지고기 핫 스팟",점심 저녁 동일가 1 - 2만원,돼지고기구이,약수
서령,4.7,(753),100% 순메밀면과 12시간 동안 정성으로 끓여 낸 신선한 한우 암소 육수를 즐길 수 있는 평양냉면 전문점,점심 저녁 동일가 1 - 2만원,"국수,냉면",회현
하이디라오 서초점,4.7,(894),"중국 본토의 맛 그대로, 차원이 다른 No.1 훠궈",점심 저녁 동일가 3 - 5만원,중식,강남
유즈라멘,4.6,"(1,161)",상큼한 유자 향이 매력적인 서울역 라멘 맛집,점심 저녁 동일가 1 - 2만원,일식,서울역
김수사 신세계,4.6,(68),부자가 대를 이어 운영하는 일식집,점심 저녁 동일가 5 - 10만원,"스시,초밥",반포
플롭 안국,4.4,(396),피맥하기 좋은 줄서는식당 출연 피자 맛집,점심 저녁 동일가 1 - 3만원,피자,안국
하쿠텐,4.8,(884),연남동 하쿠텐 라멘,점심 저녁 동일가 1만원 미만,일식,연남
오이지 대학로,4.4,(772),"한식, 일식, 양식 다양한 퓨전요리를 맛볼 수 있는 한옥 레스토랑",점심 저녁 동일가 1 - 3만원,한식,혜화
남영돈,4.4,(270),항정살이 유명한 서울 3대 고깃집,점심 영업안함 · 저녁 2 - 3만원,돼지고기구이,남영
오제제 강남점,4.6,(410),오감 전체를 만족하는 경험을 제공하는 일식 전문점,점심 저녁 동일가 1 - 3만원,일식,강남
살라댕템플,4.3,"(1,991)",퓨전 오리엔탈 프렌치 레스토랑,점심 저녁 동일가 2 - 8만원,퓨전음식,성수
아이노가든키친,4.5,(843),"따뜻함을 담고 싶은, 내수동 가정식 백반집",점심 저녁 동일가 1 - 2만원,"백반,가정식",광화문
떡도리탕 강남본점,4.5,(913),또간집에 나온 얼큰 닭도리탕 전문점,점심 저녁 동일가 1 - 2만원,"닭,오리요리",강남
쯔루하시 후게츠 명동점,4.5,(931),"보는 재미와 먹는 재미가 있는 오코노미야끼, 야끼소바 전문점",점심 저녁 동일가 1 - 2만원,일식,명동
쌤쌤쌤,4.0,"(1,087)","용리단길 맛집, 샌프란시스코의 온도가 느껴지는 공간",점심 저녁 동일가 1 - 4만원,아메리칸음식,삼각지
스시지현,4.9,(706),가성비로 소문난 연트럴파크 판초밥 맛집,점심 저녁 동일가 1 - 4만원,"스시,초밥",연남
깡통만두,4.3,(961),수요미식회에 나온 줄서는 만두 맛집,점심 저녁 동일가 1 - 2만원,한식,북촌
오제제 신용산점,4.5,(463),오감 전체를 만족하는 경험을 제공하는 일식 전문점,점심 저녁 동일가 1 - 3만원,일식,신용산
바위파스타바 강남신세계점,4.9,(10),"이영진, 최수종 셰프의 바위파스타바 강남신세계점",점심 저녁 동일가 5 - 9만원,파스타,반포
월래순교자관,4.1,(165),소룡포와 꿔바로우가 맛있는 정통 중식당,점심 저녁 동일가 1 - 3만원,중식,구로
소몽,4.5,(67),직접 끓인 소바육수와 간장으로 정성스럽게 내어드리고 있는 소바집,점심 저녁 동일가 1 - 2만원,일식,여의도
파이프그라운드,4.7,(292),한남동 옥수수 피자 맛집,점심 저녁 동일가 1 - 4만원,피자,한남
키보아츠아츠,3.4,(53),로스카츠를 메인으로 다양한 카츠와 일본식 오므라이스를 즐길 수 있는 곳,점심 저녁 동일가 1 - 2만원,일식,반포
키쿠카와,3.9,(48),장어덮밥이 맛있는 일식 전문점,점심 저녁 동일가 1 - 8만원,일식,반포
함반,4.7,(570),3가지 함박스테이크를 눈앞에서 '숯불' 에 구워주는 함박스테이크 전문점,점심 저녁 동일가 1 - 2만원,한식,합정
콘드에뻬뻬,4.6,(567),가장 가까운 곳에 있는 가장 먼 여행 @corned.e.pepe콘드에뻬뻬는 맛있는 음식과 휴식으로 여러분의 삶이 더욱 풍요로워지길 바랍니다.  (브런치타임에는 워크인or원격웨이팅을 부탁드립니다.),점심 저녁 동일가 1 - 3만원,브런치,장충동
꿉당 신사,4.4,(485),풍부한 육즙과 부드러운 지방이 일품인 돼지 목살 전문점,점심 저녁 동일가 1 - 2만원,돼지고기구이,신사
옥탑방,4.8,(230),청도 봄 미나리 수확시작 했습니다 봄 미나리는 미나리가 연하고 향이 진해요 옥탑방 방문하셔서 향긋한 봄 미나리 삼겹살을 만끽해보세요,점심 저녁 동일가 1 - 3만원,돼지고기구이,은평
콩카세 안국,4.7,(124),쉽게 접해보지 못했던 호텔요리를 대중적으로 풀어낸 공간 *워크인 전용 테이블이 있으니 예약 마감시 워크인으로 이용가능 합니다!,점심 저녁 동일가 1 - 6만원,이탈리아음식,북촌
오근내2닭갈비,4.2,(24),용산역 근처 닭갈비 맛집,점심 저녁 동일가 1 - 2만원,"닭,오리요리",용산
버섯집,4.4,(204),신선한 재료들로 정성들여 요리하는 버섯집,점심 저녁 동일가 1 - 2만원,한식,서울숲
버뮤다삼각지,4.6,(429),부담없이 즐길 수 있는 퓨전 멕시칸 전문점,점심 저녁 동일가 2 - 5만원,멕시코음식,삼각지
은평정육식당,4.3,(210),"국내산(한돈) 돼지고기와 소고기 그리고, 최상급 미국산 소고기를 맛볼 수 있는 곳",점심 저녁 동일가 1 - 2만원,"육류,고기요리",은평
광평 평양냉면갈비 삼성본점,4.6,(561),"평양냉면, 돼지갈비, 난축맛돈 전문점",점심 저녁 동일가 1 - 8만원,"육류,고기요리",삼성
꿉당 성수점,4.5,(342),성수 꿉당 목살이 맛있는 돼지고기집,점심 저녁 동일가 1 - 2만원,돼지고기구이,성수
꺼거,4.5,(126),효뜨 사장님이 운영하는 중국집,점심 저녁 동일가 1 - 2만원,중식,삼각지
라브리크 서울,4.0,(345),"점심시간은 예약이 불가능합니다. 오후 5시 이후에만 캐치테이블에서 가능합니다 :)  뉴트럴 뉴 브런치, 그리고 커피와 와인 Light but not light 가볍지만 가볍지 않은 즐거움을 선사하겠습니다. feel it coming",점심 저녁 동일가 1 - 4만원,브런치,강남
프레고클럽,4.2,(245),"뚝섬역에서 걸어서 1분 정도, 작은 골목에 위치한 파스타 가게",점심 저녁 동일가 1 - 4만원,파스타,성수
도야집,4.5,(224),40년 넘게 가정집이었던 공간에 만들어진 돼지고기 전문점,점심 저녁 동일가 2 - 3만원,돼지고기구이,신용산
솔솥 성수점,4.3,(298),"스테이크, 도미관자 솥밥이 맛있는 프리미엄 솥밥 맛집",점심 저녁 동일가 1 - 3만원,한식,성수
마제 스키야키,4.9,(616),일본의 관서식•관동식 2가지 버전의 스키야키를 선택하여 즐길 수 있는 모던하고 편안한 프리미엄 공간,점심 저녁 동일가 2 - 4만원,일식,용산
살롱순라,4.3,(129),좋은 사람들과 대화하며 맛있는 음식과 술을 즐길 때 찾아오는 순라길의 꽃,점심 저녁 동일가 2 - 4만원,이탈리아음식,종로
본디,4.5,(170),"비장탄 숯을 이용한 돼지 생갈비, 즉석 양념갈비, 장작으로 구워낸 껍데기 맛이 일품인 곳-대기접수가 많은 관계로  21:45까지 호출 못 받으실 경우, 영업시간 내 입장이 부득이하게 어려울 수 있습니다. -예약은 4인이상, 평일 오후 6시/ 주말 오후 5시 까지",점심 저녁 동일가 1 - 3만원,돼지고기구이,석촌
한미옥 청담본점,4.5,(227),한국 전통 솥뚜껑을 이용한 “차돌구절판” 최초로 개발한 집,점심 1 - 7만원 · 저녁 2 - 8만원,"육류,고기요리",청담
홋카이도 부타동 스미레,4.9,(40),한일부부가 운영하는 최상급 삼겹살의 부타동 맛집,점심 저녁 동일가 1 - 2만원,일식,신촌
오아시스 한남점,4.1,(132),"에그베네딕트는 필수, 맛과 분위기에 반하는 브런치카페",점심 저녁 동일가 1 - 3만원,브런치,한남
일월카츠 안국점,4.9,(172),"오픈런해서 먹는 북촌 돈가스 맛집, 일월카츠의 두 번째 매장",점심 저녁 동일가 1 - 2만원,돈가스,종로
고든램지버거 롯데월드몰점,4.2,"(7,000)",아시아 최초로 선보이는 '고든램지버거'는 세계적인 미쉐린 3스타 셰프 고든램지의 하이엔드 레스토랑입니다. 고든램지버거에서 셰프의 노하우가 집약된 요리로 차별화된 미식을 경험해보세요.,점심 저녁 동일가 2 - 5만원,아메리칸음식,잠실
김진목삼,4.8,(312),최상의 목살과 삼겹살을 맛볼 수 있는 서촌 맛집,점심 영업안함 · 저녁 1 - 2만원,돼지고기구이,서촌
진저베어,4.3,(436),"스윗파이와 키쉬, 갈래트, 미트파이를 판매하는 베이커리 카페",픽업가 1 - 3만원,"카페,디저트",송파
을지로 진작 본점,4.4,(358),후토마끼를 시그니처로 하는 일식 베이스 퓨전 요리점,점심 저녁 동일가 1 - 2만원,일식,을지로
테디뵈르하우스,4.4,(34),"서울 빵지순례, 크루아상이 맛있는 베이커리 카페",점심 저녁 동일가 1만원 미만,"카페,디저트",삼각지
치즈룸X테이스팅룸 월드몰,4.4,"(1,329)",잠실에서 즐기는 [치즈룸] & [테이스팅룸] 콜라보,점심 저녁 동일가 1 - 4만원,이탈리아음식,잠실
부빙 북촌점,4.4,(116),"사계절 맛있는 빙수집, 수요미식회 선정 빙수맛집",점심 저녁 동일가 1 - 2만원,"카페,디저트",북촌
고에몬 강남,4.1,(449),수플레 오믈렛과 파스타가 맛있는 일본식 스파게티 전문점,점심 저녁 동일가 1 - 2만원,일식,강남
우와 명동점,4.5,(153),오코노미야끼와 야끼소바 및 각종 테판야끼를 전문으로 하는 '우와' 명동점 (Oknomiyaki & Teppan Yaki [우 : 와]),점심 저녁 동일가 1 - 2만원,일식,명동
봄담아 등촌점,4.6,(417),개인의 취향에 맞게 마음대로 마음껏 골라 먹을 수 있는 샤브샤브의 성지,점심 저녁 동일가 1 - 2만원,샤브샤브,등촌
왕십리연탄집,4.6,(13),대한민국 최고 꼼장어&소갈비살 맛집,점심 영업안함 · 저녁 1 - 2만원,한식,왕십리
자주한상,4.4,(24),우리 한식의 가치를 현대 일상 생활 속에서 자주 가깝게 즐길 수 있도록 신세계에서 새롭게 선보이는 한식 브랜드,점심 저녁 동일가 1 - 8만원,한식,반포
온천집 스키야키,4.1,"(1,135)","고급스러운 분위기와 최고급 고기의 샤브샤브를 21,000원으로 즐길 수 있는 최고의 휴식처",점심 저녁 동일가 2 - 9만원,샤브샤브,압구정로데오
핫쵸 성수,4.6,(440),"인플로언서들이 인정한 맛집. 분위기 좋은 일본 전통 히로시마 오코노미야키 전문점11:30, 17:00 온라인 웨이팅이 오픈됩니다.",점심 저녁 동일가 1 - 2만원,일식,서울숲
도꼭지 KT송파타워점,4.4,"(1,347)",제철 재료의 신선함을 담아낸 한식 다이닝 플레이스,점심 저녁 동일가 2 - 5만원,한식,잠실
진작다이닝 용산점,4.6,(216),2021년에 런칭한 '진작 다이닝'은 '하이엔드의 대중화'를 목표로 만든 '진작'의 캐쥬얼 다이닝 브랜드 입니다.,점심 저녁 동일가 1 - 3만원,일식,신용산
우와 신사점,4.5,(137),오코노미야끼가 유명한 가로수길 일본 철판요리 맛집,점심 저녁 동일가 1 - 2만원,일식,신사
더크다이브,4.6,(210),"🥂  Dive for a moment, 지친 일상에 잠깐의 고요한 순간 일식당",점심 저녁 동일가 1 - 2만원,일식,신용산
청기와타운 을지로점,4.7,(299),"미국 LA 한인타운의 힙하고 캐주얼한 감성을 담은 인테리어가 돋보이며, 네이버 예약 어워즈 2022에서 인기를 얻은 갈비 맛집 청기와타운 을지로점.",점심 저녁 동일가 2 - 3만원,"육류,고기요리",명동
우육면관 광화문점,4.7,(255),"중국, 대만, 한국 78곳의 우육면을 먹어본 뒤, 단연 최고였던 칭다오 私味牛肉面의 장인으로부터 비법을 전수받았습니다.깊은 탕 맛의 본질을 위해 매일 우직하게 끓여냅니다.보약과도 같은 탕으로 만든 우육전골, 어향가지, 마파연두부는 광화문점에서만 드실 수 있습니다.",점심 1 - 2만원 · 저녁 1 - 5만원,중식,광화문
DOTZ,4.6,(449),"또 다른 중식과 재해석한 아시안 음식,아시안 퀴진",점심 1 - 3만원 · 저녁 2 - 4만원,아시아음식,한남
캐롤스 롯데월드몰,4.4,(852),미국 전통의 맛을 재연한 아메리칸 패밀리 레스토랑 Carol's,점심 저녁 동일가 2 - 5만원,아메리칸음식,잠실
566라멘,4.8,(379),"지로라멘의 강자, 찐라멘러들의 맛집",점심 저녁 동일가 1 - 2만원,일식,연남
블루보틀 여의도 카페,3.8,(254),,픽업가 5 - 8만원,"카페,디저트",여의도
개나리아구찜 본점,3.9,(281),YOUNG AND OLD모두가 즐길 수 있는 대창아구찜 맛집,점심 저녁 동일가 2 - 3만원,해물(탕/찜/볶음),송파
미식가주택,4.6,(272),일식을 토대로 무국적으로 푸는 레트로 술집** 밑에 공지사항을 확인해주세요~* 예약시간대 말고도 워크인 좌석 있는 경우가 많으니 편하게 전화주세요* 6월 평일 콜키지 이벤트 중입니다~,점심 영업안함 · 저녁 2 - 4만원,이자카야,상수
화육계,3.8,(217),칼로리 낮은 무뼈닭발과 매운족발 맛집,점심 영업안함 · 저녁 1 - 3만원,"닭,오리요리",을지로
연남토마 북촌점,4.4,(98),"줄서서 먹는 퓨전덮밥, 파스타 전문 맛집",점심 저녁 동일가 1 - 2만원,퓨전음식,북촌
봉산옥,4.1,(239),황해도 봉산이 고향인 시어머니에게 전수받은 요리법으로 황해도 스타일의 음식을 선보이고 있는 한식집,점심 저녁 동일가 1 - 4만원,한식,서초
김진목삼 2호점,4.7,(180),최상의 목살과 삼겹살을 맛볼 수 있는 서촌 맛집,점심 저녁 동일가 1 - 2만원,돼지고기구이,서촌
도산정육 본점,4.4,(157),도산정육 본점(1층)은 예약을 받지 않습니다.,점심 저녁 동일가 2 - 4만원,돼지고기구이,압구정로데오
바오서울 성수,4.2,(39),대만 현지에 온듯한 성수동의 작은 대만,점심 저녁 동일가 1 - 2만원,중식,성수
판코네(Pancone),4.5,(603),다양한 생면 파스타와 램을 즐길 수 있는 스테이크 전문점,점심 저녁 동일가 1 - 5만원,파스타,신용산
스시츠바사,4.5,"(1,426)","퀄리티 높은 식재료를 활용한 음식과 스시를 모던한 인테리어에서 즐길 수 있는 용산의 프리미엄 스시 오마카세.☆☆☆☆☆☆☆☆☆☆콜키지 프리, 2인 1병 제한 , 화이트와인 샴페인 사케만 가능.자세한 사항은 아래에 공지 확인 부탁드립니다.",점심 2 - 7만원 · 저녁 11만원,스시오마카세,용산
카페밀노,0.0,0,"직접 굽는 휘낭시에, 스모어쿠키, 수제케이크가 있는 연남동카페",점심 저녁 동일가 1 - 2만원,"카페,디저트",연남
익스첼,4.7,(77),이색적인 공간에서 즐기는 모던 멕시칸 브런치,점심 저녁 동일가 1 - 2만원,멕시코음식,합정
빌즈 잠실,4.0,(463),호주 특유의 따스하고 편안한 라이프 스타일과 식재료 본연의 맛을 그대로 살린 건강한 메뉴를 선보이는 레스토랑,점심 저녁 동일가 1 - 5만원,브런치,잠실
도트블랭킷 삼청한옥점,4.5,(154),한옥의 고즈넉함과 신선한 재료로 만든 브런치의 만남,점심 저녁 동일가 1 - 2만원,브런치,삼청
탕면,4.6,(393),한국식 중화요리를 선보이는 곳,점심 저녁 동일가 1 - 2만원,중식,은평
송정,4.9,(47),항정국밥과 특제 새우젓이 맛있는 망원동 돼지국밥집,점심 저녁 동일가 1 - 2만원,한식,망원
누데이크 신사,3.9,(68),크로와상을 한 입 베어 물었을 때의 충만한 행복을 느낄 수 있는 공간,점심 저녁 동일가 1만원 미만,"카페,디저트",가로수길
도요스,4.7,"(1,412)","새로운 오마카세 도요스가성비 넘치는 구성으로 제공해드립니다-기본 스시코스와 추가 스시 주문 형식으로 변경됩니다. -예약좌석을 제외한 워킹,웨이팅 좌석은 분리운영중입니다*런치,디너 33,000원",점심 저녁 동일가 3.3만원,스시오마카세,잠실
연하동 대학로점,4.6,(202),"연어와 하이볼 그리고 가라아게동을 판매하는 일식당, 연남동을 줄 세우고 대학로에 상륙한 '연하동'",점심 저녁 동일가 1 - 3만원,일식,혜화
고기싸롱 망원역점,4.6,(52),프리미엄 숯불구이 무한리필 전문점,점심 1.75만원 · 저녁 1.85만원,돼지고기구이,망원
MISFITS,4.5,(25),훈연향과 함께 색다르고 유니크한 스모킹 버거,점심 저녁 동일가 1 - 2만원,아메리칸음식,사당
히소카,4.8,(143),오사카 시장에 있는 노포 스타일의 이자카야,점심 영업안함 · 저녁 1 - 3만원,이자카야,문래
고도식 마포점,4.2,(36),숯불 직화로 조리해 육즙과 풍미를 살린 고기 전문점,점심 저녁 동일가 1 - 3만원,"육류,고기요리",마포
아민 연남(지중해 올데이 브런치),4.8,(291),맛과 영양을 담은 지중해 올데이 브런치 전문점,점심 저녁 동일가 1 - 3만원,다이닝바,연남
정각,4.5,(194),한식과 양식의 맛이 조화롭게 어우러진 요리와 경의선숲길의 경치와 벚꽃뷰 테라스를 만끽할 수 있는 공간,점심 저녁 동일가 1 - 8만원,다이닝바,마포
뚝도농원,4.5,(136),힙한 공간에서 즐기는 돼지고기와 오리 로스구이,점심 저녁 동일가 1 - 2만원,돼지고기구이,성수
뉴오더클럽 한남,4.5,(9),미국식 피자와 분위기를 즐길 수 있는 곳,점심 저녁 동일가 2 - 3만원,피자,한남
빈브라더스 커피하우스,4.7,(59),"한 잔의 훌륭한 커피, 여러 잔의 커피를 마시는 재미까지 다채로운 커피 경험을 선사합니다. 편안한 공간에서 커피를 즐기는 7층(Table)과 시즈널 커피를 경험하실 수 있는 6층(Bar)으로 이루어져 있습니다.",점심 저녁 동일가 1 - 2만원,"카페,디저트",상수
숙성부심,4.5,(165),숙성에 대한 자부심이 있는 고기집,점심 영업안함 · 저녁 1 - 2만원,돼지고기구이,군자
양산도 여의도점,4.6,(104),나고야식 민물장어덮밥 “히츠마부시” 전문점,점심 저녁 동일가 1 - 4만원,일식,여의도
예술의전당 담,4.1,(280),"정갈한 한식과 멋진 테라스 카페에서 간단한 디저트, 음료을 즐길 수 있는 한식당",점심 저녁 동일가 1 - 3만원,한식,서초
우와 연남점,4.6,(89),"눈과 입이 즐거운 오꼬노미야끼, 야끼소바 맛집",점심 저녁 동일가 1 - 2만원,일식,연남
더 타코부스,4.2,(132),기다린 시간이 아깝지 않은 비리아 타코 맛집,점심 저녁 동일가 1 - 2만원,아메리칸음식,압구정로데오
후라토식당 여의도직영점,4.3,(184),"규카츠 & 반숙 오므라이스, 캐주얼 일본요리 전문점",점심 저녁 동일가 1 - 2만원,일식,여의도
돝고기506,4.3,(506),506시간 숙성을 거친 최고의 프리미엄 돼지고기 숙성육,점심 저녁 동일가 1 - 4만원,돼지고기구이,역삼
하트파트 롯데월드몰점,4.1,(364),따뜻한 솥밥을 정갈한 반찬과 곁들여 다채롭게 제공하는 한식 다이닝,점심 저녁 동일가 1 - 3만원,한식,잠실
샤브인서울 신용산 본점,4.6,"(1,020)",고즈넉한 공간에서 신선한 야채와 1++ 등급의 스페셜 한우를  다양한 육수로 즐길수있는 프리미엄 샤브 다이닝,점심 저녁 동일가 2 - 4만원,샤브샤브,신용산
필앳홈,4.2,(81),"캐치테이블은 콘서트예약용으로만 활용합니다. 저희 카페는 연중 무휴 입니다. 11시 ~ 24시,",점심 저녁 동일가 1 - 3만원,브런치,송파
또보겠지떡볶이집 강남헬로몽키점,4.4,(144),깻잎 즉석떡볶이와 버터갈릭 감자튀김의 원조 또보겠지 떡볶이집,점심 저녁 동일가 1 - 2만원,한식,강남
고급오복수산,4.5,(359),신선한 해산물을 사용한 일식 다이닝 매장,점심 저녁 동일가 1 - 6만원,일식,압구정
후라토식당 잠실직영점,4.3,(187),"규카츠 & 반숙 오므라이스, 캐주얼 일본요리 전문점",점심 저녁 동일가 1 - 2만원,일식,잠실
번트서울,4.5,(4),디저트가 맛있는 청계천 뷰 대형 카페,점심 저녁 동일가 1만원 미만,"카페,디저트",을지로
초이다이닝 성수점,3.8,(70),후토마끼가 시그니처인 퓨전일식 다이닝,점심 저녁 동일가 1 - 2만원,일식,성수
휴돈정,4.8,(151),기다린 시간이 아깝지 않은 일식 돈카츠 맛집,점심 저녁 동일가 1 - 2만원,일식,공릉
심퍼티쿠시 가로수길점,4.6,(852),"유러피안 요리를 아시안 스타일로 풀어낸 감각적인 파인캐주얼 레스토랑, 심퍼티쿠시.",점심 저녁 동일가 2 - 5만원,유러피안음식,가로수길
벽돌해피푸드 압구정점,4.3,(60),맛있는 음식과 즐거운 분위기로 행복을 전하는 아메리칸 차이니즈 레스토랑,점심 저녁 동일가 1 - 3만원,중식,압구정로데오
왓에버타코,0.0,0,힙한 감성의 인테리어와 멕시코 현지의 맛을 100% 구현한 타코 맛집,점심 저녁 동일가 1만원 미만,멕시코음식,연남
시나모롤스위트카페,3.9,"(1,479)",바라만 봐도 포근함이 느껴지는 시나모롤과 친구들의 달콤한 공간,점심 저녁 동일가 1 - 2만원,"카페,디저트",홍대
온점 을지로점,4.7,(48),다이닝스러운 고급 인테리어의 숯불구이 전문점,점심 1 - 3만원 · 저녁 2 - 6만원,"육류,고기요리",을지로
산들애건강밥상,4.5,(89),한식 명인이 선보이는 건강한 한상,점심 저녁 동일가 1 - 2만원,한식,은평
낙원타코 용산아이파크몰점,4.3,(123),남녀노소 누구나 즐길 수 있는 맛있는 멕시칸 패밀리 레스토랑,점심 저녁 동일가 2 - 3만원,멕시코음식,용산
알돈익스프레스,5.0,(1),"돈까스전문점에서 시작해, 계란과 돼지를  주 메뉴로 한 돈까스&충무김밥&면류를 즐길 수 있는 곳",점심 저녁 동일가 1 - 2만원,일식,충무로
군산오징어 본점,3.8,(63),석촌호수 서호 사거리에 위치한 오징어불고기 전문점,점심 저녁 동일가 1 - 3만원,한식,잠실
금금 송리단길,4.5,(61),이색 메뉴가 가득한 퓨전한식 맛집,점심 저녁 동일가 1 - 2만원,한식,송파
왕십리맛나곱창,0.0,0,왕십리곱창 고소하고 매콤한 곱창의명가,점심 저녁 동일가 1 - 4만원,"곱창,막창",왕십리
온더보더 롯데월드몰점,4.2,(175),롯데월드몰 6층에 위치한 정통 멕시칸 레스토랑입니다. 코끝을 자극하는 풍성한 멕시칸 푸드와 향긋한 마가리타 그리고 흥겨운 라틴음악을 즐길 수 있습니다.,점심 저녁 동일가 1 - 8만원,멕시코음식,잠실
오복수산 LG아트센터 서울점,4.5,(52),신선한 해산물을 사용한 일식 다이닝 매장,점심 저녁 동일가 2 - 6만원,일식,마곡
도토리소반,4.5,(112),정성이 담긴 따뜻한 솥밥과 건강한 한끼를 맛볼 수 있는 곳,점심 저녁 동일가 1 - 2만원,한식,혜화
고래와,4.5,(175),"🐋 위로가 되는 술과 음식, 우리가 만나는 곳",점심 저녁 동일가 1 - 5만원,이자카야,삼각지
육미제당 방화점,0.0,0,국내 최초 진짜 대장(大長)갈비를 메인으로한 무한리필 고기 브랜드,점심 저녁 동일가 2만원,"육류,고기요리",방화
연하동 신논현점,4.7,(238),"연어와 하이볼 그리고 가라아게동을 판매하는 일식당, 연남동을 줄 세우고 신논현에 상륙한 '연하동'",점심 저녁 동일가 1 - 3만원,일식,강남
하연옥 용산점,3.6,(21),특유의 감칠맛으로 사랑받는 진주냉면 원조집,점심 저녁 동일가 1 - 4만원,"국수,냉면",삼각지
토끼다이닝 연남,4.6,(92),한식을 주 베이스로 다양한 음식과 다양한 음료 및 주류를 합리적으로 즐길 수 있는 밥집 겸 술집,점심 1 - 3만원 · 저녁 2 - 4만원,한식,연남
묵전,4.3,(74),가정집을 개조해서 만든 웨이팅 핫플 막걸리 집,점심 저녁 동일가 2 - 4만원,전통주,압구정로데오
초이다이닝 익선점,4.3,(128),후토마끼가 시그니처인 퓨전일식 다이닝,점심 저녁 동일가 1 - 3만원,일식,익선
가나초콜릿하우스,4.0,(183),초콜릿이 주는 행복한 순간을 경험할 수 있는 팝업스토어,점심 저녁 동일가 2만원,"카페,디저트",성수
파스타 트리오,4.7,(18),"파스타 트리오는 세명의 요리사가 만나, 트리오만의 색이 담긴 독창적인 요리를 선보이고 있습니다. 트리오에서 즐거운 시간 보내고 가시길 바라겠습니다. 늘 행복하세요!",점심 저녁 동일가 1 - 4만원,파스타,논현
남영동 양문 본점,4.2,(216),시그니처 사이드메뉴와 가성비 좋은 생소갈비를 즐기는 곳,점심 저녁 동일가 2 - 6만원,소고기구이,용산
앨리나인,4.9,(179),송리단길 양식/와인바 전체 ‘평점 1위’한번 맛보면 가족 친구들 다 데려오고 싶어지는 곳📍네이버5.0점 캐치테이블4.9점 카카오맵4.9점📍음식맛 ‘진짜 자신있는 가게‘📍주류필수❌ 시간제한❌ 케이크 반입⭕️,점심 저녁 동일가 2 - 3만원,이탈리아음식,잠실
자루야키,4.5,(11),여러가지 술과 80년대 빈티지 오디오 사운드가 어우러지는 일본식 숯불닭구이 자루야키 전문점,점심 1 - 2만원 · 저녁 1 - 3만원,"닭,오리요리",신용산
카쿠시타,4.8,(11),"생활의 달인, 또간집, 입짧은 햇님 등 방송으로 검증된 연남동 특별한 창작요리 맛집",점심 저녁 동일가 1 - 3만원,일식,연남
